sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
8,0.0,1,0.011437373999797273,0.029620615001476835,0.11143928000092274,0.004501825002080295,0.15699909400427714,0.006709066998155322,0.019624886750534642,0.013929910000115342,0,136,8,38,14525600,14525600,10688,211,1746,98,54
32,0.0,3,0.043902262004849035,0.0314991179984645,0.41864890099532204,0.004864995004027151,0.4989152760026627,0.026911355002084747,0.01559110237508321,0.013082778156103814,0,544,32,146,52925600,52925600,44179,823,6936,374,210
1,0.0,6,0.002385335996223148,0.028844583001045976,0.014950819000659976,0.0035025449979002587,0.04968328299582936,0.0008647380018373951,0.04968328299582936,0.014950819000659976,0,17,1,6,3388000,3388000,1367,32,295,17,8
4,0.7,6,0.00510373600263847,0.02748094400158152,0.08132569999725092,0.00348422399838455,0.11739460399985546,0.0042599540029186755,0.029348650999963866,0.02033142499931273,10,138,4,50,12662011,8479039,11027,209,1401,82,58
64,0.7,2,0.08277423200343037,0.032564345994614996,1.3921462840007734,0.003733753001142759,1.5112186149999616,0.09412944900395814,0.0236127908593744,0.021752285687512085,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
64,0.7,7,0.08531976900121663,0.03310183899884578,1.3162074069987284,0.0037173320015426725,1.4383463470003335,0.09240437599510187,0.02247416167188021,0.02056574073435513,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
64,0.0,2,0.07153822099644458,0.030421898001804948,0.8541839840036118,0.0037072119957883842,0.9598513149976498,0.05788589399890043,0.014997676796838277,0.013346624750056435,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
4,0.0,0,0.15617046000261325,0.02670180899440311,0.04869958700146526,0.003596907998144161,0.23516876399662578,0.0028697030065814033,0.058792190999156446,0.012174896750366315,0,68,4,20,8125600,8125600,5308,109,907,52,28
32,0.7,4,0.0388112469954649,0.029086233000271022,0.5724329510048847,0.0036275449965614825,0.6439579759971821,0.04065749199799029,0.02012368674991194,0.017888529718902646,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
64,0.7,5,0.07543653000175254,0.030547499998647254,1.3773685470005148,0.003926594996300992,1.4872791719972156,0.1604028660003678,0.023238737062456494,0.021521383546883044,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
16,0.0,7,0.03600164200179279,0.041630865998740774,0.32244787699892186,0.004054459001054056,0.4041348440005095,0.010472127003595233,0.025258427750031842,0.020152992312432616,0,272,16,74,27325600,27325600,21818,415,3469,190,106
1,0.7,4,0.005540582002140582,0.05497374800324906,0.046852953993948177,0.007794566001393832,0.11516185000073165,0.004870757999015041,0.11516185000073165,0.046852953993948177,4,45,1,18,5599153,3832867,3615,72,490,29,20
16,0.0,4,0.054071298996859696,0.0525209650004399,0.30060848699940834,0.003963828996347729,0.41116457999305567,0.030621567006164696,0.02569778624956598,0.01878803043746302,0,272,16,74,27325600,27325600,21818,415,3469,190,106
4,0.7,4,0.019114075003017206,0.06538317900412949,0.2249710639953264,0.0041332140026497655,0.31360153200512286,0.0039042179996613413,0.07840038300128072,0.0562427659988316,10,138,4,50,12662011,8479039,11027,209,1401,82,58
1,0.0,7,0.004361183004220948,0.09156771199923242,0.03118716099561425,0.0037663710027118213,0.13088242700177943,0.0009388489997945726,0.13088242700177943,0.03118716099561425,0,17,1,6,3388000,3388000,1367,32,295,17,8
16,0.0,2,0.05109039499802748,0.04636042200581869,0.35071240099932766,0.0038243889939622022,0.451987606997136,0.019179807000909932,0.028249225437321,0.02191952506245798,0,272,16,74,27325600,27325600,21818,415,3469,190,106
64,0.0,6,0.309652759002347,0.05309849699551705,1.2383260580027127,0.00401054100075271,1.6050878550013294,0.08485041099629598,0.025079497734395773,0.019348844656292385,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
4,0.7,7,0.0092172259974177,0.03489797600195743,0.09487855799670797,0.0036235170045983978,0.1426172770006815,0.005991189995256718,0.035654319250170374,0.023719639499176992,10,138,4,50,12662011,8479039,11027,209,1401,82,58
32,0.7,0,0.05608599499828415,0.036344113999803085,0.8472730729990872,0.0034952800051542,0.9431984620023286,0.03914974899817025,0.02947495193757277,0.026477283531221474,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
4,0.7,0,0.00602368399995612,0.027234798995777965,0.07830651700351154,0.0035420869971858338,0.11510708699643146,0.003591792003135197,0.028776771749107866,0.019576629250877886,10,138,4,50,12662011,8479039,11027,209,1401,82,58
64,0.0,3,0.07710755399602931,0.029654082005436067,0.8202206529967953,0.003772144002141431,0.9307544330004021,0.05868023999937577,0.014543038015631282,0.012815947703074926,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
16,0.7,4,0.020088315999601036,0.027285118005238473,0.4638164629941457,0.0038681670048390515,0.5150580640038243,0.01882676799868932,0.032191129000239016,0.028988528937134106,35,517,16,179,42090586,27325600,42305,765,5236,295,211
64,0.7,3,0.07593434899899876,0.03219407099823002,1.3096705970019684,0.003755300996999722,1.421554317996197,0.09178628899826435,0.022211786218690577,0.020463603078155757,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
32,0.7,3,0.040240071997686755,0.03652987699751975,0.6380256510019535,0.004545333998976275,0.7193409339961363,0.041864188002364244,0.02247940418737926,0.019938301593811047,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
32,0.0,8,0.03887951600336237,0.03134280699305236,0.590271039000072,0.0039320430005318485,0.6644254049970186,0.046044831004110165,0.020763293906156832,0.01844596996875225,0,544,32,146,52925600,52925600,44179,823,6936,374,210
